address,tx,ty,tz
0x2290d03b100,3.74859,5.69169,5.61677
0x2290d03b104,5.69169,5.61677,1.4013e-45
0x2290d03c35c,7.33225,1.4013e-45,0
0x2290d03c3b0,1.29585,1.29585,-1
0x2290d03c3ec,1.29585,1.29585,1.29585
0x2290d03c3f0,1.29585,1.29585,-1
0x2290d03c42c,1,1.62952e-24,7.74918e-43
0x2290d03c4a4,1,1,1
0x2290d03c4a8,1,1,1
0x2290d03c4ac,1,1,0
0x2290d03c4b0,1,0,0
0x2290d03c4b4,0,0,0
0x2290d03c4b8,0,0,1
0x2290d03c4c0,1,0,0
0x2290d03c4e4,0,0,1.29585
0x2290d03c4ec,1.29585,0,0
0x2290d03c544,0,205.649,-0
0x2290d03c548,205.649,-0,302.628
0x2290d03c550,302.628,1,3.58732e-43
0x2290d03c554,1,3.58732e-43,0
0x2290d03c584,0,6.76477,33.3914
0x2290d03c588,6.76477,33.3914,12.9711
0x2290d03c58c,33.3914,12.9711,-9.7074
0x2290d03c590,12.9711,-9.7074,-0.143109
0x2290d03c594,-9.7074,-0.143109,-4.48005
0x2290d03c598,-0.143109,-4.48005,8.23609
0x2290d03c59c,-4.48005,8.23609,16.7673
0x2290d03c5a0,8.23609,16.7673,8.72557
0x2290d03c5a4,16.7673,8.72557,1.4013e-45
0x2290d03ca3c,7.33225,1.4013e-45,0
0x2290d03ca80,0,0,0
0x2290d03ca84,0,0,1
0x2290d03ca88,0,1,1
0x2290d03ca90,1,1,1
0x2290d03ca94,1,1,0
0x2290d03cabc,0,266.536,18.1162
0x2290d03cac0,266.536,18.1162,388.079
0x2290d03cac4,18.1162,388.079,1.2965
0x2290d03cacc,1.2965,1.2965,1.2965
0x2290d03cad0,1.2965,1.2965,-0.999995
0x2290d03cb84,1,1,1
0x2290d03cb88,1,1,1
0x2290d03cb8c,1,1,0
0x2290d03cb90,1,0,0
0x2290d03cb94,0,0,0
0x2290d03cb98,0,0,1
0x2290d03cba0,1,0,0
0x2290d03cbc4,0,0.00276858,1.2965
0x2290d03cbc8,0.00276858,1.2965,0.00110425
0x2290d03cbcc,1.2965,0.00110425,0
0x2290d03cc24,0,206.269,-14.667
0x2290d03cc34,1,3.58732e-43,0
0x2290d03cc64,0,3.47226,2.47593
0x2290d03cc68,3.47226,2.47593,3.1134
0x2290d03cc6c,2.47593,3.1134,-4.02492
0x2290d03cc70,3.1134,-4.02492,-8.90744
0x2290d03cc74,-4.02492,-8.90744,-8.12013
0x2290d03cc78,-8.90744,-8.12013,3.74859
0x2290d03cc7c,-8.12013,3.74859,5.69169
0x2290d03cc80,3.74859,5.69169,5.61677
0x2290d03cc84,5.69169,5.61677,1.4013e-45
0x2290d03ec9c,7.33233,1.4013e-45,0
0x2290d03ecf0,1.2661,1.2661,1
0x2290d03ed2c,1.2661,1.2661,1.2661
0x2290d03ed30,1.2661,1.2661,1
0x2290d03ed6c,1,1.63011e-24,7.74918e-43
0x2290d03ede4,1,1,1
0x2290d03ede8,1,1,1
0x2290d03edec,1,1,0
0x2290d03edf0,1,0,0
0x2290d03edf4,0,0,0
0x2290d03edf8,0,0,1
0x2290d03ee00,1,0,0
0x2290d03ee18,1.2661,0,0
0x2290d03ee24,0,0,1.2661
0x2290d03ee2c,1.2661,0,0
0x2290d03ee34,0,0,0
0x2290d03ee94,1,3.58732e-43,0
0x2290d03eec4,0,6.75632,34.6814
0x2290d03eec8,6.75632,34.6814,11.0124
0x2290d03eecc,34.6814,11.0124,-10.1967
0x2290d03eed0,11.0124,-10.1967,-1.6716
0x2290d03eed4,-10.1967,-1.6716,-4.48212
0x2290d03eed8,-1.6716,-4.48212,8.47652
0x2290d03eedc,-4.48212,8.47652,18.1765
0x2290d03eee0,8.47652,18.1765,7.74726
0x2290d03eee4,18.1765,7.74726,1.4013e-45
0x2290d03f37c,7.33234,1.4013e-45,0
0x2290d03f3d0,1,1,1
0x2290d03f3d4,1,1,0
0x2290d03f40c,1.26674,1.26674,1.26674
0x2290d03f410,1.26674,1.26674,0.999995
0x2290d03f4c4,1,1,1
0x2290d03f4c8,1,1,1
0x2290d03f4cc,1,1,0
0x2290d03f4d0,1,0,0
0x2290d03f4d4,0,0,0
0x2290d03f4d8,0,0,1
0x2290d03f4e0,1,0,0
0x2290d03f4f8,1.26673,0.00270747,0.00304518
0x2290d03f504,0,-0.00270503,1.26674
0x2290d03f50c,1.26674,-0.00107891,0
0x2290d03f514,0,-0.00304733,0.0010724
0x2290d03f574,1,3.58732e-43,0
0x2290d03f5a4,0,3.47226,2.47593
0x2290d03f5a8,3.47226,2.47593,3.1134
0x2290d03f5ac,2.47593,3.1134,-4.02492
0x2290d03f5b0,3.1134,-4.02492,-8.90744
0x2290d03f5b4,-4.02492,-8.90744,-8.12013
0x2290d03f5b8,-8.90744,-8.12013,3.74859
